@timestamp,@message,@logStream,@log
2024-11-21 19:23:45.670,"END RequestId: 1920c018-3b5f-46d4-891d-4b2b4168dc68
",2024/11/21/[$LATEST]23165f0d82f4420fa756fafc491dafcf,211125778552:/aws/lambda/cosmic-executor
2024-11-21 19:23:45.670,"REPORT RequestId: 1920c018-3b5f-46d4-891d-4b2b4168dc68	Duration: 3377.20 ms	Billed Duration: 3378 ms	Memory Size: 10240 MB	Max Memory Used: 490 MB	
",2024/11/21/[$LATEST]23165f0d82f4420fa756fafc491dafcf,211125778552:/aws/lambda/cosmic-executor
2024-11-21 19:23:45.668,"executed script
",2024/11/21/[$LATEST]23165f0d82f4420fa756fafc491dafcf,211125778552:/aws/lambda/cosmic-executor
2024-11-21 19:23:45.644,"END RequestId: e99e0793-431b-4368-9c04-ff10d9e80fce
",2024/11/21/[$LATEST]8bb6209005fd422dbe1ea01b459cf460,211125778552:/aws/lambda/cosmic-executor
2024-11-21 19:23:45.644,"REPORT RequestId: e99e0793-431b-4368-9c04-ff10d9e80fce	Duration: 3639.18 ms	Billed Duration: 3640 ms	Memory Size: 10240 MB	Max Memory Used: 489 MB	
",2024/11/21/[$LATEST]8bb6209005fd422dbe1ea01b459cf460,211125778552:/aws/lambda/cosmic-executor
2024-11-21 19:23:45.643,"executed script
",2024/11/21/[$LATEST]8bb6209005fd422dbe1ea01b459cf460,211125778552:/aws/lambda/cosmic-executor
2024-11-21 19:23:45.408,"END RequestId: a8a9bd51-cf80-4060-9322-597646aea983
",2024/11/21/[$LATEST]f03a60a9243f44d0ab30c414cc7f2eaa,211125778552:/aws/lambda/cosmic-executor
2024-11-21 19:23:45.408,"REPORT RequestId: a8a9bd51-cf80-4060-9322-597646aea983	Duration: 3500.06 ms	Billed Duration: 3501 ms	Memory Size: 10240 MB	Max Memory Used: 492 MB	
",2024/11/21/[$LATEST]f03a60a9243f44d0ab30c414cc7f2eaa,211125778552:/aws/lambda/cosmic-executor
2024-11-21 19:23:45.407,"executed script
",2024/11/21/[$LATEST]f03a60a9243f44d0ab30c414cc7f2eaa,211125778552:/aws/lambda/cosmic-executor
2024-11-21 19:23:45.264,"raise RuntimeError(
",2024/11/21/[$LATEST]23165f0d82f4420fa756fafc491dafcf,211125778552:/aws/lambda/cosmic-executor
2024-11-21 19:23:45.264,"RuntimeError: Attempting to deserialize object on a CUDA device but torch.cuda.is_available() is False. If you are running on a CPU-only machine, please use torch.load with map_location=torch.device('cpu') to map your storages to the CPU.
",2024/11/21/[$LATEST]23165f0d82f4420fa756fafc491dafcf,211125778552:/aws/lambda/cosmic-executor
2024-11-21 19:23:45.263,"typed_storage = load_tensor(
",2024/11/21/[$LATEST]23165f0d82f4420fa756fafc491dafcf,211125778552:/aws/lambda/cosmic-executor
2024-11-21 19:23:45.263,"File ""/opt/conda/envs/cylon_dev/lib/python3.9/site-packages/torch/serialization.py"", line 1784, in load_tensor
",2024/11/21/[$LATEST]23165f0d82f4420fa756fafc491dafcf,211125778552:/aws/lambda/cosmic-executor
2024-11-21 19:23:45.263,"wrap_storage=restore_location(storage, location),
",2024/11/21/[$LATEST]23165f0d82f4420fa756fafc491dafcf,211125778552:/aws/lambda/cosmic-executor
2024-11-21 19:23:45.263,"File ""/opt/conda/envs/cylon_dev/lib/python3.9/site-packages/torch/serialization.py"", line 1685, in restore_location
",2024/11/21/[$LATEST]23165f0d82f4420fa756fafc491dafcf,211125778552:/aws/lambda/cosmic-executor
2024-11-21 19:23:45.263,"return default_restore_location(storage, map_location)
",2024/11/21/[$LATEST]23165f0d82f4420fa756fafc491dafcf,211125778552:/aws/lambda/cosmic-executor
2024-11-21 19:23:45.263,"File ""/opt/conda/envs/cylon_dev/lib/python3.9/site-packages/torch/serialization.py"", line 601, in default_restore_location
",2024/11/21/[$LATEST]23165f0d82f4420fa756fafc491dafcf,211125778552:/aws/lambda/cosmic-executor
