@timestamp,@message,@logStream,@log
2024-11-26 18:11:25.356,"END RequestId: b592ae7f-6e4e-4b39-9791-4bb4c485f7b0
",2024/11/26/[$LATEST]c83844236cb3452c8030b870dc484b1e,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:25.356,"REPORT RequestId: b592ae7f-6e4e-4b39-9791-4bb4c485f7b0	Duration: 14547.75 ms	Billed Duration: 15679 ms	Memory Size: 10240 MB	Max Memory Used: 2878 MB	Init Duration: 1131.19 ms	
",2024/11/26/[$LATEST]c83844236cb3452c8030b870dc484b1e,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:25.354,"executed script
",2024/11/26/[$LATEST]c83844236cb3452c8030b870dc484b1e,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:24.344,"engine(args)
",2024/11/26/[$LATEST]c83844236cb3452c8030b870dc484b1e,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:24.344,"File ""/tmp/Anomaly Detection/Inference/inference_data_parallel.py"", line 234, in engine
",2024/11/26/[$LATEST]c83844236cb3452c8030b870dc484b1e,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:24.344,"inference(
",2024/11/26/[$LATEST]c83844236cb3452c8030b870dc484b1e,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:24.344,"File ""/tmp/Anomaly Detection/Inference/inference_data_parallel.py"", line 163, in inference
",2024/11/26/[$LATEST]c83844236cb3452c8030b870dc484b1e,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:24.344,"with open('Results.json', 'w') as json_file:
",2024/11/26/[$LATEST]c83844236cb3452c8030b870dc484b1e,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:24.344,"OSError: [Errno 30] Read-only file system: 'Results.json'
",2024/11/26/[$LATEST]c83844236cb3452c8030b870dc484b1e,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:24.343,"Traceback (most recent call last):
",2024/11/26/[$LATEST]c83844236cb3452c8030b870dc484b1e,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:24.343,"File ""/tmp/Anomaly Detection/Inference/inference_data_parallel.py"", line 286, in <module>
",2024/11/26/[$LATEST]c83844236cb3452c8030b870dc484b1e,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.982,"REPORT RequestId: 113e106c-e8cd-45c2-9f8c-b1dc01b50b17	Duration: 13209.44 ms	Billed Duration: 14290 ms	Memory Size: 10240 MB	Max Memory Used: 2848 MB	Init Duration: 1080.31 ms	
",2024/11/26/[$LATEST]8cc57e8c03904fdb98c8d3d0b36dda8c,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.981,"END RequestId: 113e106c-e8cd-45c2-9f8c-b1dc01b50b17
",2024/11/26/[$LATEST]8cc57e8c03904fdb98c8d3d0b36dda8c,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.980,"executed script
",2024/11/26/[$LATEST]8cc57e8c03904fdb98c8d3d0b36dda8c,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.896,"END RequestId: 44fd4add-bd7b-4323-9be0-3bda3cfaf74f
",2024/11/26/[$LATEST]c6d1714f13074982829e3df81f537aab,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.896,"REPORT RequestId: 44fd4add-bd7b-4323-9be0-3bda3cfaf74f	Duration: 13073.13 ms	Billed Duration: 14142 ms	Memory Size: 10240 MB	Max Memory Used: 2767 MB	Init Duration: 1068.02 ms	
",2024/11/26/[$LATEST]c6d1714f13074982829e3df81f537aab,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.895,"executed script
",2024/11/26/[$LATEST]c6d1714f13074982829e3df81f537aab,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.788,"END RequestId: 7f31cc67-aff6-4a18-96aa-80517bb69fba
",2024/11/26/[$LATEST]770271f7690d42d084ecb50ec8dd3385,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.788,"REPORT RequestId: 7f31cc67-aff6-4a18-96aa-80517bb69fba	Duration: 12884.53 ms	Billed Duration: 14109 ms	Memory Size: 10240 MB	Max Memory Used: 2842 MB	Init Duration: 1223.88 ms	
",2024/11/26/[$LATEST]770271f7690d42d084ecb50ec8dd3385,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.787,"executed script
",2024/11/26/[$LATEST]770271f7690d42d084ecb50ec8dd3385,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.786,"END RequestId: a73fae8e-0c78-40f7-af29-c91b3636b4da
",2024/11/26/[$LATEST]65808dcf90f84e8b9e96e44c2da72ef3,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.786,"REPORT RequestId: a73fae8e-0c78-40f7-af29-c91b3636b4da	Duration: 12891.80 ms	Billed Duration: 14037 ms	Memory Size: 10240 MB	Max Memory Used: 2840 MB	Init Duration: 1144.88 ms	
",2024/11/26/[$LATEST]65808dcf90f84e8b9e96e44c2da72ef3,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.784,"executed script
",2024/11/26/[$LATEST]65808dcf90f84e8b9e96e44c2da72ef3,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.649,"END RequestId: a17fd227-b6ea-4d77-8eeb-d420c8738864
",2024/11/26/[$LATEST]ade5ad8272ff49c49b09065803f45e73,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.649,"REPORT RequestId: a17fd227-b6ea-4d77-8eeb-d420c8738864	Duration: 12864.08 ms	Billed Duration: 13956 ms	Memory Size: 10240 MB	Max Memory Used: 2505 MB	Init Duration: 1091.79 ms	
",2024/11/26/[$LATEST]ade5ad8272ff49c49b09065803f45e73,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.648,"executed script
",2024/11/26/[$LATEST]ade5ad8272ff49c49b09065803f45e73,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.554,"END RequestId: 70780ae3-607d-4ee8-a6c9-a55ccc5efe41
",2024/11/26/[$LATEST]5c7b17295c674c0e96a03ed7c081eca6,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.554,"REPORT RequestId: 70780ae3-607d-4ee8-a6c9-a55ccc5efe41	Duration: 12821.02 ms	Billed Duration: 13858 ms	Memory Size: 10240 MB	Max Memory Used: 2853 MB	Init Duration: 1036.40 ms	
",2024/11/26/[$LATEST]5c7b17295c674c0e96a03ed7c081eca6,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.552,"executed script
",2024/11/26/[$LATEST]5c7b17295c674c0e96a03ed7c081eca6,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.413,"END RequestId: 132ca59e-c030-4d04-a8dc-20fddce0d614
",2024/11/26/[$LATEST]80066ccd4ae34c6b815b359541ba420f,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.413,"REPORT RequestId: 132ca59e-c030-4d04-a8dc-20fddce0d614	Duration: 12499.72 ms	Billed Duration: 13695 ms	Memory Size: 10240 MB	Max Memory Used: 2869 MB	Init Duration: 1195.24 ms	
",2024/11/26/[$LATEST]80066ccd4ae34c6b815b359541ba420f,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.412,"executed script
",2024/11/26/[$LATEST]80066ccd4ae34c6b815b359541ba420f,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.373,"END RequestId: 8fe0bd1f-ad9d-40bd-8051-5a63a56f679d
",2024/11/26/[$LATEST]7c6fa7a07d7e45738397b5a54004dba5,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.373,"REPORT RequestId: 8fe0bd1f-ad9d-40bd-8051-5a63a56f679d	Duration: 12382.56 ms	Billed Duration: 13672 ms	Memory Size: 10240 MB	Max Memory Used: 2821 MB	Init Duration: 1289.22 ms	
",2024/11/26/[$LATEST]7c6fa7a07d7e45738397b5a54004dba5,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.371,"executed script
",2024/11/26/[$LATEST]7c6fa7a07d7e45738397b5a54004dba5,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.361,"END RequestId: 6e1a9faf-1793-4447-9f65-788b753eaf55
",2024/11/26/[$LATEST]3ecf1fdbef6a40b290042efd4d67ab8e,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.361,"REPORT RequestId: 6e1a9faf-1793-4447-9f65-788b753eaf55	Duration: 12621.76 ms	Billed Duration: 13671 ms	Memory Size: 10240 MB	Max Memory Used: 2882 MB	Init Duration: 1049.00 ms	
",2024/11/26/[$LATEST]3ecf1fdbef6a40b290042efd4d67ab8e,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.360,"executed script
",2024/11/26/[$LATEST]3ecf1fdbef6a40b290042efd4d67ab8e,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.319,"END RequestId: a65e4eb4-c2a7-45a0-b207-576ac85ff72c
",2024/11/26/[$LATEST]146f87648dca4b96a111b5f6251bd7cd,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.319,"REPORT RequestId: a65e4eb4-c2a7-45a0-b207-576ac85ff72c	Duration: 12390.67 ms	Billed Duration: 13562 ms	Memory Size: 10240 MB	Max Memory Used: 2881 MB	Init Duration: 1171.07 ms	
",2024/11/26/[$LATEST]146f87648dca4b96a111b5f6251bd7cd,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.317,"executed script
",2024/11/26/[$LATEST]146f87648dca4b96a111b5f6251bd7cd,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.293,"END RequestId: acaea5df-61f5-4d3e-9680-4c37850e96c2
",2024/11/26/[$LATEST]d7025b33dc654952ba95724238244d0e,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.293,"REPORT RequestId: acaea5df-61f5-4d3e-9680-4c37850e96c2	Duration: 12562.82 ms	Billed Duration: 13569 ms	Memory Size: 10240 MB	Max Memory Used: 2841 MB	Init Duration: 1005.61 ms	
",2024/11/26/[$LATEST]d7025b33dc654952ba95724238244d0e,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.292,"executed script
",2024/11/26/[$LATEST]d7025b33dc654952ba95724238244d0e,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.188,"END RequestId: 02cca218-9cf7-4963-9807-d1da0ffdb6a0
",2024/11/26/[$LATEST]e80f9009de61468cba16337e8b52ffed,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.188,"REPORT RequestId: 02cca218-9cf7-4963-9807-d1da0ffdb6a0	Duration: 12564.18 ms	Billed Duration: 13518 ms	Memory Size: 10240 MB	Max Memory Used: 2825 MB	Init Duration: 953.13 ms	
",2024/11/26/[$LATEST]e80f9009de61468cba16337e8b52ffed,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.187,"executed script
",2024/11/26/[$LATEST]e80f9009de61468cba16337e8b52ffed,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.058,"END RequestId: 7f550fd6-eb6d-43fe-99e1-2b00d814c7d4
",2024/11/26/[$LATEST]57c6e4b0fb4e4c23b1b062437c5c8cbb,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.058,"REPORT RequestId: 7f550fd6-eb6d-43fe-99e1-2b00d814c7d4	Duration: 12284.18 ms	Billed Duration: 13319 ms	Memory Size: 10240 MB	Max Memory Used: 2887 MB	Init Duration: 1034.02 ms	
",2024/11/26/[$LATEST]57c6e4b0fb4e4c23b1b062437c5c8cbb,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.057,"executed script
",2024/11/26/[$LATEST]57c6e4b0fb4e4c23b1b062437c5c8cbb,211125778552:/aws/lambda/cosmic-executor
2024-11-26 18:11:23.050,"END RequestId: 400d29e9-ba6a-4e06-aff3-e3aa66a01b31
",2024/11/26/[$LATEST]a75eec452ad24cf6b6ecf0a874e0f980,211125778552:/aws/lambda/cosmic-executor
