total_cpu_time,total_cpu_memory,execution_time_per_batch,num_batches,batch_size,device,throughput_bps,throughput_mbps
25.31098601899999,31872.831704,0.16121647145859866,157,8,cpu,8126608.732097379,8.12660873209738
27.006422052000104,29333.484788,0.34185344369620385,79,16,cpu,7616428.403730969,7.616428403730969
20.441888255000265,29332.453492,0.5110472063750067,40,32,cpu,10062303.317291925,10.062303317291924
17.587726769000028,29446.79178,0.8793863384500014,20,64,cpu,11695228.309013292,11.695228309013292
15.67108482400015,29452.34842,1.567108482400015,10,128,cpu,13125605.681425672,13.125605681425672
15.695143231999872,29588.104408,3.139028646399974,5,256,cpu,13105486.006691938,13.105486006691939
14.978803124000043,29634.495452,4.992934374666681,3,512,cpu,13732237.368847296,13.732237368847295
13.378970157000007,29655.492228,6.689485078500003,2,1024,cpu,15374313.387819294,15.374313387819294
12.736906313000134,29724.960252,12.736906313000134,1,2048,cpu,16149328.176345034,16.149328176345033
12.880105179000157,29745.811968,12.880105179000157,1,4096,cpu,15969782.633092385,15.969782633092384
